id,company_id,end_date,start_date,period,accounts_type,currency_code,revenue,cost_of_goods_sold,gross_profit,operating_expenses,ebitda,depreciation_amortization,ebit,net_income,cash,total_assets,total_liabilities,equity,operating_cash_flow,investing_cash_flow,financing_cash_flow,created_at,updated_at
PM-FIN-0031,PM-COMP-005,2025-06-30,2025-04-01,QUARTERLY,MANAGEMENT,USD,28520803.96,14577914.91,13942889.05,8645320.31,5297568.74,401053.41,4896515.33,3592875.87,3202036.34,28727674.05,12859893.65,15867780.4,3617539.93,-1217443.81,-2149556.54,2025-10-23 12:53:51.486667,2025-10-23 12:53:51.486672
PM-FIN-0032,PM-COMP-005,2025-09-30,2025-07-01,QUARTERLY,MANAGEMENT,USD,29570406.23,15949355.52,13621050.71,8485797.02,5135253.69,554410.06,4580843.63,3153787.18,3197276.31,30507677.25,8195227.86,22312449.39,5389408.25,-754552.6,-4560888.36,2025-10-23 12:53:51.486734,2025-10-23 12:53:51.486738
PM-FIN-0033,PM-COMP-009,2023-12-31,2023-01-01,ANNUAL,AUDITED,USD,580935251.53,344729240.99,236206010.54,200984266.02,35221744.52,19725340.92,15496403.6,4071594.05,100090947.51,719596192.42,475918439.52,243677752.9,46720786.58,-48108655.78,12937230.86,2025-10-23 12:53:51.485417,2025-10-23 12:53:51.485422
PM-FIN-0034,PM-COMP-009,2024-03-31,2024-01-01,QUARTERLY,MANAGEMENT,USD,142123123.51,84920140.12,57202983.39,48732672.33,8470311.06,4685416.31,3784894.75,1668410.3,22723568.24,73420059.76,23374409.51,50045650.25,15916008.54,-3766693.86,-14675725.93,2025-10-23 12:53:51.485599,2025-10-23 12:53:51.485606
PM-FIN-0035,PM-COMP-009,2024-06-30,2024-04-01,QUARTERLY,MANAGEMENT,USD,163271698.53,97616447.85,65655250.68,57103757.15,8551493.53,5542841.78,3008651.75,525761.17,8853927.55,82912011.73,46270769.7,36641242.03,2247910.27,-6228132.19,4248187.98,2025-10-23 12:53:51.485667,2025-10-23 12:53:51.485671
PM-FIN-0036,PM-COMP-009,2024-09-30,2024-07-01,QUARTERLY,MANAGEMENT,USD,164637597.08,100151586.55,64486010.53,58014297.44,6471713.09,6003241.06,468472.03,-2764877.49,20662922.84,148091134.49,94119306.87,53971827.62,-2510946.55,-10257713.57,12038327.69,2025-10-23 12:53:51.485733,2025-10-23 12:53:51.485738
PM-FIN-0037,PM-COMP-009,2024-12-31,2024-01-01,ANNUAL,AUDITED,USD,644683332.21,382557600.37,262125731.84,223038980.68,39086751.16,21889872.37,17196878.79,9144327.34,84596718.63,875414382.88,178172957.89,697241424.99,10858093.04,-60608950.54,50880753.1,2025-10-23 12:53:51.485480,2025-10-23 12:53:51.485486
PM-FIN-0038,PM-COMP-009,2025-03-31,2025-01-01,QUARTERLY,MANAGEMENT,USD,148108429.39,84131161.4,63977267.99,50411318.63,13565949.36,4860809.11,8705140.25,5280830.0,8278073.64,155762040.59,50807399.03,104954641.56,13541114.24,-9624079.71,-4621649.35,2025-10-23 12:53:51.485894,2025-10-23 12:53:51.485899
PM-FIN-0039,PM-COMP-009,2025-06-30,2025-04-01,QUARTERLY,MANAGEMENT,USD,175402567.69,107552746.68,67849821.01,61560629.44,6289191.57,5774423.22,514768.35,-2001072.36,29200657.99,146819247.34,93019078.33,53800169.01,7736587.98,-3719501.76,96699.02,2025-10-23 12:53:51.485962,2025-10-23 12:53:51.485966
PM-FIN-0040,PM-COMP-009,2025-09-30,2025-07-01,QUARTERLY,MANAGEMENT,USD,178631947.34,102933839.16,75698108.18,63703055.37,11995052.81,5370094.21,6624958.6,3055026.66,13176456.44,105405579.32,77300965.32,28104614.0,10573786.04,-9245895.2,-2452623.12,2025-10-23 12:53:51.486029,2025-10-23 12:53:51.486034
PM-FIN-0041,PM-COMP-011,2023-12-31,2023-01-01,ANNUAL,AUDITED,USD,91412564.25,41406054.22,50006510.03,17707062.63,32299447.4,2712432.96,29587014.44,23086919.97,16851037.06,69450975.7,15676313.78,53774661.92,26548705.15,-4025776.43,-21651991.14,2025-10-23 12:53:51.484037,2025-10-23 12:53:51.484042
PM-FIN-0042,PM-COMP-011,2024-03-31,2024-01-01,QUARTERLY,MANAGEMENT,USD,22747218.6,10336776.9,12410441.7,4371502.18,8038939.52,682031.77,7356907.75,5261906.05,2364757.08,12748237.43,9181311.12,3566926.31,7656113.46,-771192.4,-6216002.37,2025-10-23 12:53:51.484229,2025-10-23 12:53:51.484237
PM-FIN-0043,PM-COMP-011,2024-06-30,2024-04-01,QUARTERLY,MANAGEMENT,USD,25303078.33,11380444.52,13922633.81,4983614.0,8939019.81,820168.5,8118851.31,6227660.2,1948647.28,24281035.54,7589178.51,16691857.03,7371703.4,-1772915.49,-4889880.76,2025-10-23 12:53:51.484302,2025-10-23 12:53:51.484307
PM-FIN-0044,PM-COMP-011,2024-09-30,2024-07-01,QUARTERLY,MANAGEMENT,USD,26664220.86,11788198.26,14876022.6,5256974.96,9619047.64,707128.05,8911919.59,6576902.22,4072909.35,22729688.51,12604006.99,10125681.52,7968164.46,-924201.8,-7104257.03,2025-10-23 12:53:51.484368,2025-10-23 12:53:51.484373
PM-FIN-0045,PM-COMP-011,2024-12-31,2024-01-01,ANNUAL,AUDITED,USD,104449047.43,47311033.84,57138013.59,20232293.45,36905720.14,3099257.11,33806463.03,26172438.95,16076109.88,88094494.18,54906121.63,33188372.55,24338270.34,-4249317.35,-18824660.0,2025-10-23 12:53:51.484109,2025-10-23 12:53:51.484114
PM-FIN-0046,PM-COMP-011,2025-03-31,2025-01-01,QUARTERLY,MANAGEMENT,USD,24627626.68,11443965.25,13183661.43,4758788.86,8424872.57,640773.97,7784098.6,5896747.24,2338248.99,26780442.05,19020650.07,7759791.98,4711055.43,-1222041.0,-3672943.98,2025-10-23 12:53:51.484522,2025-10-23 12:53:51.484529
PM-FIN-0047,PM-COMP-011,2025-06-30,2025-04-01,QUARTERLY,MANAGEMENT,USD,28069906.3,12960364.09,15109542.21,5424176.59,9685365.62,742488.66,8942876.96,6195025.34,1696032.57,30010076.62,6975024.68,23035051.94,6842508.63,-1786117.62,-5009907.62,2025-10-23 12:53:51.484591,2025-10-23 12:53:51.484596
PM-FIN-0048,PM-COMP-011,2025-09-30,2025-07-01,QUARTERLY,MANAGEMENT,USD,28792110.84,12692307.33,16099803.51,5567000.9,10532802.61,802976.19,9729826.42,6926505.93,1864332.32,14670298.11,3913617.84,10756680.27,5979195.15,-1783086.96,-3599592.33,2025-10-23 12:53:51.484661,2025-10-23 12:53:51.484666
PM-FIN-0049,PM-COMP-013,2023-12-31,2023-01-01,ANNUAL,AUDITED,USD,486197258.62,203704225.16,282493033.46,111545529.88,170947503.58,11885327.51,159062176.07,119741808.73,83079375.25,377485977.8,151785618.52,225700359.28,140399276.73,-39688276.05,-95381167.63,2025-10-23 12:53:51.486815,2025-10-23 12:53:51.486819
PM-FIN-0050,PM-COMP-013,2024-03-31,2024-01-01,QUARTERLY,MANAGEMENT,USD,126615130.14,51053913.43,75561216.71,27982751.74,47578464.97,3164942.02,44413522.95,35255875.31,18193520.25,85957557.47,21043690.84,64913866.63,31885096.17,-5488673.06,-27818524.72,2025-10-23 12:53:51.487002,2025-10-23 12:53:51.487009
PM-FIN-0051,PM-COMP-013,2024-06-30,2024-04-01,QUARTERLY,MANAGEMENT,USD,119362219.24,52165316.46,67196902.78,27913620.22,39283282.56,2792866.36,36490416.2,26800947.35,6460296.03,72744351.56,23610973.37,49133378.19,24281216.8,-8261820.44,-15097112.95,2025-10-23 12:53:51.487072,2025-10-23 12:53:51.487076
PM-FIN-0052,PM-COMP-013,2024-09-30,2024-07-01,QUARTERLY,MANAGEMENT,USD,135864405.36,56688873.5,79175531.86,30923121.41,48252410.45,3062120.66,45190289.79,35077388.35,7477804.02,150197219.06,51090653.33,99106565.73,37081712.31,-6177877.76,-34805561.6,2025-10-23 12:53:51.487136,2025-10-23 12:53:51.487141
PM-FIN-0053,PM-COMP-013,2024-12-31,2024-01-01,ANNUAL,AUDITED,USD,519466374.89,217643134.59,301823240.3,119178277.98,182644962.32,12698607.18,169946355.14,127710866.6,99971698.08,404623018.4,139281631.24,265341387.16,158448197.46,-46270438.04,-115451861.43,2025-10-23 12:53:51.486879,2025-10-23 12:53:51.486884
PM-FIN-0054,PM-COMP-013,2025-03-31,2025-01-01,QUARTERLY,MANAGEMENT,USD,125439381.07,54130115.7,71309265.37,28904980.93,42404284.44,3400879.36,39003405.08,30299994.38,20968605.79,106667661.39,45710390.21,60957271.18,37598750.87,-3153055.72,-30830846.63,2025-10-23 12:53:51.487287,2025-10-23 12:53:51.487292
PM-FIN-0055,PM-COMP-013,2025-06-30,2025-04-01,QUARTERLY,MANAGEMENT,USD,144541149.28,62006403.94,82534745.34,32978292.72,49556452.62,3136304.29,46420148.33,33526628.98,11164718.77,137366353.79,98214355.53,39151998.26,44883163.64,-5694451.99,-34999646.36,2025-10-23 12:53:51.487356,2025-10-23 12:53:51.487361
PM-FIN-0056,PM-COMP-013,2025-09-30,2025-07-01,QUARTERLY,MANAGEMENT,USD,150309128.8,61769623.32,88539505.48,35559004.54,52980500.94,3828445.24,49152055.7,37127530.8,9496508.12,118326017.41,35227992.37,83098025.04,42394844.22,-5180089.86,-34848118.96,2025-10-23 12:53:51.487443,2025-10-23 12:53:51.487448
