expense_id,fund_code,expense_type,expense_category,vendor_name,expense_date,expense_amount,expense_currency,description,invoice_number,approval_status,payment_status,payment_date,allocated_to_investments,created_date,last_modified_date,fx_rate,fx_rate_as_of,fx_rate_source
ADMIN-EXP-021,ADMIN-FUND-001,Legal,Fund,"James, Morris and Williams",2023-08-02,73762.14,EUR,Enough moment put price no certainly. Order matter campaign.,15828,PENDING,UNPAID,2023-08-02,,2023-08-02,2023-08-02,1.0,2023-08-02,INTERNAL
ADMIN-EXP-022,ADMIN-FUND-001,Other,Transaction,"Bailey, Mitchell and Mckinney",2022-05-30,114839.68,EUR,Hold be development my he those. Three couple imagine usually scientist. Teach crime leader.,37601,PAID,UNPAID,2022-05-30,,2022-05-30,2022-05-30,1.0,2022-05-30,INTERNAL
ADMIN-EXP-023,ADMIN-FUND-001,Audit,Fund,"Edwards, Zimmerman and Thomas",2022-01-26,88585.7,EUR,Send where check source bed production. Just experience letter could also debate five.,80122,PENDING,PAID,2022-01-26,,2022-01-26,2022-01-26,1.0,2022-01-26,INTERNAL
ADMIN-EXP-024,ADMIN-FUND-001,Legal,Fund,Gonzalez and Sons,2021-05-02,37378.64,EUR,Perhaps do carry care. Of blue daughter act against culture. Life attack realize prove into lead.,49597,APPROVED,UNPAID,2021-05-02,,2021-05-02,2021-05-02,1.0,2021-05-02,INTERNAL
ADMIN-EXP-025,ADMIN-FUND-001,Audit,Fund,"Brown, Ramirez and Wood",2025-08-09,134004.66,EUR,Walk community discuss ok. Staff color ahead establish truth.,54212,APPROVED,PAID,2025-08-09,,2025-08-09,2025-08-09,1.0,2025-08-09,INTERNAL
ADMIN-EXP-026,ADMIN-FUND-001,Travel,Transaction,Williams-Brooks,2022-02-09,185146.19,EUR,Eat could of wait some between be. Budget leader message.,97181,PENDING,PAID,2022-02-09,,2022-02-09,2022-02-09,1.0,2022-02-09,INTERNAL
ADMIN-EXP-027,ADMIN-FUND-001,Audit,Fund,Yates and Sons,2024-12-21,56773.69,EUR,Opportunity position sure court crime. Realize staff dark. Family kind toward adult maybe.,47283,APPROVED,UNPAID,2024-12-21,,2024-12-21,2024-12-21,1.0,2024-12-21,INTERNAL
ADMIN-EXP-028,ADMIN-FUND-001,Travel,Transaction,"Figueroa, Gutierrez and Adams",2022-04-22,233963.56,EUR,See memory treatment both head child. Myself movie yard fear across shake.,85553,PAID,UNPAID,2022-04-22,,2022-04-22,2022-04-22,1.0,2022-04-22,INTERNAL
ADMIN-EXP-029,ADMIN-FUND-001,Travel,Transaction,"Sexton, Jimenez and Little",2025-01-21,120967.95,EUR,Story minute simply where point. Watch human financial seat other. Design probably born cell.,12243,PAID,PAID,2025-01-21,,2025-01-21,2025-01-21,1.0,2025-01-21,INTERNAL
ADMIN-EXP-030,ADMIN-FUND-001,Audit,Transaction,"Glenn, Davis and Huffman",2021-11-19,201700.65,EUR,Girl culture claim. Cover how their about place force.,18653,PAID,PAID,2021-11-19,,2021-11-19,2021-11-19,1.0,2021-11-19,INTERNAL
ADMIN-EXP-031,ADMIN-FUND-001,Travel,Transaction,Hayes PLC,2021-04-18,63247.44,EUR,State series value tax. Such year deal the. Throw pull third data sport imagine section measure.,86475,PENDING,PAID,2021-04-18,,2021-04-18,2021-04-18,1.0,2021-04-18,INTERNAL
ADMIN-EXP-032,ADMIN-FUND-001,Legal,Fund,Harris and Sons,2021-06-17,259406.62,EUR,Reduce heavy receive state.,25551,APPROVED,UNPAID,2021-06-17,,2021-06-17,2021-06-17,1.0,2021-06-17,INTERNAL
ADMIN-EXP-033,ADMIN-FUND-001,Legal,Fund,Adams-Alvarez,2025-03-11,212803.27,EUR,In drug stuff million. Gas human ok space blood herself simply move.,77394,APPROVED,PAID,2025-03-11,,2025-03-11,2025-03-11,1.0,2025-03-11,INTERNAL
ADMIN-EXP-034,ADMIN-FUND-001,Legal,Transaction,Martin and Sons,2024-08-25,162563.45,EUR,However face own. Adult name establish street. Minute show a theory of couple.,23156,PENDING,UNPAID,2024-08-25,,2024-08-25,2024-08-25,1.0,2024-08-25,INTERNAL
ADMIN-EXP-035,ADMIN-FUND-001,Legal,Transaction,"Cooley, Tran and Perry",2024-04-06,71104.02,EUR,Change whether small. Another defense quickly.,77669,APPROVED,PAID,2024-04-06,,2024-04-06,2024-04-06,1.0,2024-04-06,INTERNAL
ADMIN-EXP-036,ADMIN-FUND-001,Legal,Transaction,Valdez PLC,2022-11-30,137810.95,EUR,Increase poor alone both. Into thousand but discuss try. Wear edge own visit hotel.,29415,PAID,PAID,2022-11-30,,2022-11-30,2022-11-30,1.0,2022-11-30,INTERNAL
ADMIN-EXP-037,ADMIN-FUND-001,Legal,Transaction,Kent-Carr,2020-12-10,197670.88,EUR,Color summer stand move fine major. Wide explain rock design. Reduce technology other about.,70746,APPROVED,PAID,2020-12-10,,2020-12-10,2020-12-10,1.0,2020-12-10,INTERNAL
ADMIN-EXP-038,ADMIN-FUND-001,Audit,Fund,Herrera-Gardner,2021-03-18,106844.29,EUR,Get fly push never commercial once figure race. Cause teacher big break maybe majority.,97518,PAID,PAID,2021-03-18,,2021-03-18,2021-03-18,1.0,2021-03-18,INTERNAL
ADMIN-EXP-039,ADMIN-FUND-001,Travel,Fund,"Shaffer, Duncan and Gonzalez",2024-01-14,92955.06,EUR,Data four major move develop by design bar. Read dream popular truth.,89803,PAID,PAID,2024-01-14,,2024-01-14,2024-01-14,1.0,2024-01-14,INTERNAL
ADMIN-EXP-040,ADMIN-FUND-001,Audit,Transaction,Sutton-Edwards,2021-04-13,250160.91,EUR,Reality impact story defense force difficult. Anyone mention tell green rate could evidence.,61773,PAID,UNPAID,2021-04-13,,2021-04-13,2021-04-13,1.0,2021-04-13,INTERNAL
ADMIN-EXP-041,ADMIN-FUND-001,Travel,Fund,Norris Inc,2022-03-25,79688.22,EUR,Other future direction admit town strategy raise.,87374,PENDING,PAID,2022-03-25,,2022-03-25,2022-03-25,1.0,2022-03-25,INTERNAL
ADMIN-EXP-042,ADMIN-FUND-001,Other,Transaction,"Bartlett, Watson and Rowe",2021-04-01,174030.3,EUR,Left unit seek more. Understand specific so some deal. Set civil yet word bit consider design.,48353,APPROVED,UNPAID,2021-04-01,,2021-04-01,2021-04-01,1.0,2021-04-01,INTERNAL
ADMIN-EXP-043,ADMIN-FUND-001,Legal,Fund,"Sanchez, Andersen and Vasquez",2023-09-02,83799.5,EUR,Every trouble office thought. Scene pay true. Picture cold black life another firm night.,47572,APPROVED,UNPAID,2023-09-02,,2023-09-02,2023-09-02,1.0,2023-09-02,INTERNAL
ADMIN-EXP-044,ADMIN-FUND-001,Travel,Transaction,Cobb Inc,2022-12-08,260254.47,EUR,When mouth table world film.,58994,PENDING,PAID,2022-12-08,,2022-12-08,2022-12-08,1.0,2022-12-08,INTERNAL
ADMIN-EXP-045,ADMIN-FUND-001,Travel,Fund,Cantu-Pope,2022-10-15,222769.73,EUR,Practice team star dream. Nothing ground smile break here early what.,44013,PAID,PAID,2022-10-15,,2022-10-15,2022-10-15,1.0,2022-10-15,INTERNAL
ADMIN-EXP-046,ADMIN-FUND-001,Other,Transaction,Jones-Barry,2023-06-19,143764.23,EUR,Plant put law more often. First deep again in something industry I receive.,22281,APPROVED,PAID,2023-06-19,,2023-06-19,2023-06-19,1.0,2023-06-19,INTERNAL
ADMIN-EXP-047,ADMIN-FUND-001,Legal,Transaction,"Galloway, Mccormick and Todd",2023-09-06,172325.42,EUR,Data water opportunity. Top medical day like prepare grow mention.,21993,PAID,PAID,2023-09-06,,2023-09-06,2023-09-06,1.0,2023-09-06,INTERNAL
ADMIN-EXP-048,ADMIN-FUND-001,Other,Transaction,Lee-Petersen,2024-12-04,218008.1,EUR,Control campaign card. Skin wide under attack suggest. Thus particularly right green left.,88630,PAID,UNPAID,2024-12-04,,2024-12-04,2024-12-04,1.0,2024-12-04,INTERNAL
ADMIN-EXP-049,ADMIN-FUND-001,Travel,Transaction,"Nelson, Cunningham and Moore",2022-09-03,202781.27,EUR,Throw increase career number cultural when. All fund little fine art manager carry western.,61393,PAID,UNPAID,2022-09-03,,2022-09-03,2022-09-03,1.0,2022-09-03,INTERNAL
ADMIN-EXP-050,ADMIN-FUND-001,Legal,Transaction,"Kennedy, Jones and Price",2022-01-31,43398.1,EUR,Build sound effect thank. Sea society your book cold.,56483,APPROVED,PAID,2022-01-31,,2022-01-31,2022-01-31,1.0,2022-01-31,INTERNAL
ADMIN-EXP-051,ADMIN-FUND-001,Legal,Transaction,"Sanders, Thomas and White",2024-05-12,59581.7,EUR,"At coach sea man.
Grow forget these. Ability again nature heavy soldier.",65987,APPROVED,UNPAID,2024-05-12,,2024-05-12,2024-05-12,1.0,2024-05-12,INTERNAL
ADMIN-EXP-052,ADMIN-FUND-001,Travel,Fund,Jennings and Sons,2022-09-19,147084.92,EUR,Eat budget benefit strong well. Upon model be begin.,98367,PAID,PAID,2022-09-19,,2022-09-19,2022-09-19,1.0,2022-09-19,INTERNAL
ADMIN-EXP-053,ADMIN-FUND-001,Other,Transaction,Campbell-Zamora,2023-12-11,58302.07,EUR,It challenge approach around case thing. Special relationship much.,70324,PAID,UNPAID,2023-12-11,,2023-12-11,2023-12-11,1.0,2023-12-11,INTERNAL
ADMIN-EXP-054,ADMIN-FUND-001,Audit,Fund,Mcdonald LLC,2024-10-16,239779.08,EUR,Find week develop yet admit far. People yeah nice cause.,65264,PAID,UNPAID,2024-10-16,,2024-10-16,2024-10-16,1.0,2024-10-16,INTERNAL
ADMIN-EXP-055,ADMIN-FUND-001,Other,Transaction,Hoffman PLC,2021-02-16,160919.64,EUR,Door hand rest sometimes work who. Man chance dog next instead.,44711,PAID,UNPAID,2021-02-16,,2021-02-16,2021-02-16,1.0,2021-02-16,INTERNAL
ADMIN-EXP-056,ADMIN-FUND-001,Audit,Transaction,Huber PLC,2025-09-01,152730.14,EUR,System kind task especially perhaps list. Production official police gun. Include usually south.,29882,APPROVED,UNPAID,2025-09-01,,2025-09-01,2025-09-01,1.0,2025-09-01,INTERNAL
ADMIN-EXP-057,ADMIN-FUND-001,Legal,Transaction,Kelley-Meza,2024-04-11,127148.44,EUR,From PM such painting. Clear either size admit hundred real.,18281,PENDING,UNPAID,2024-04-11,,2024-04-11,2024-04-11,1.0,2024-04-11,INTERNAL
ADMIN-EXP-058,ADMIN-FUND-001,Legal,Fund,Hall-Perez,2021-08-15,196712.07,EUR,Prevent everything soon cost tell. Remain anything particularly week.,87928,PAID,PAID,2021-08-15,,2021-08-15,2021-08-15,1.0,2021-08-15,INTERNAL
ADMIN-EXP-059,ADMIN-FUND-001,Legal,Transaction,Li-Allen,2022-09-30,141069.18,EUR,Start forget half act build deal join. Front close budget line coach.,82240,APPROVED,PAID,2022-09-30,,2022-09-30,2022-09-30,1.0,2022-09-30,INTERNAL
ADMIN-EXP-060,ADMIN-FUND-001,Legal,Transaction,"Travis, King and Henry",2024-04-15,96536.35,EUR,Cup fund dinner language information tell tonight. Consider expert address.,77760,APPROVED,PAID,2024-04-15,,2024-04-15,2024-04-15,1.0,2024-04-15,INTERNAL
ADMIN-EXP-061,ADMIN-FUND-001,Audit,Fund,Arnold-Bradford,2021-02-07,247793.9,EUR,Project after song radio ground join. Early sure trial half.,92128,PENDING,UNPAID,2021-02-07,,2021-02-07,2021-02-07,1.0,2021-02-07,INTERNAL
ADMIN-EXP-062,ADMIN-FUND-001,Other,Fund,Williams-Everett,2022-10-01,196405.51,EUR,Inside shoulder choice measure space skin talk. Floor east front season.,86253,PENDING,UNPAID,2022-10-01,,2022-10-01,2022-10-01,1.0,2022-10-01,INTERNAL
ADMIN-EXP-063,ADMIN-FUND-001,Other,Transaction,Peterson LLC,2024-01-24,194027.47,EUR,Take police several speech left dinner. Affect fast fall serve successful have.,21835,PENDING,UNPAID,2024-01-24,,2024-01-24,2024-01-24,1.0,2024-01-24,INTERNAL
ADMIN-EXP-064,ADMIN-FUND-001,Audit,Transaction,"Castillo, Cooley and Goodwin",2022-07-07,220835.17,EUR,Describe main fill direction. Simply thousand fast. Subject me food learn.,16461,APPROVED,PAID,2022-07-07,,2022-07-07,2022-07-07,1.0,2022-07-07,INTERNAL
ADMIN-EXP-065,ADMIN-FUND-001,Travel,Fund,West Group,2022-05-16,47003.89,EUR,Act present help deal. Watch teacher relationship wall decade nature TV.,72620,PENDING,PAID,2022-05-16,,2022-05-16,2022-05-16,1.0,2022-05-16,INTERNAL
ADMIN-EXP-066,ADMIN-FUND-001,Audit,Fund,Reed Inc,2023-12-04,58626.36,EUR,Seven structure store prepare. International building man institution arm family pattern.,92919,PENDING,UNPAID,2023-12-04,,2023-12-04,2023-12-04,1.0,2023-12-04,INTERNAL
ADMIN-EXP-067,ADMIN-FUND-001,Legal,Fund,"Norton, Smith and Shea",2024-07-12,195451.6,EUR,Question environmental stock art. Agent author let thought affect democratic young.,98508,PENDING,PAID,2024-07-12,,2024-07-12,2024-07-12,1.0,2024-07-12,INTERNAL
ADMIN-EXP-068,ADMIN-FUND-001,Travel,Fund,Patton-Hamilton,2021-01-05,74145.18,EUR,Accept develop none scientist series foot article. Past partner would foot recognize despite.,48549,APPROVED,UNPAID,2021-01-05,,2021-01-05,2021-01-05,1.0,2021-01-05,INTERNAL
ADMIN-EXP-069,ADMIN-FUND-001,Other,Transaction,Holloway-Chavez,2023-05-31,105810.46,EUR,Popular green day majority perhaps phone health. Reveal media national feeling able security year.,27607,PENDING,PAID,2023-05-31,,2023-05-31,2023-05-31,1.0,2023-05-31,INTERNAL
ADMIN-EXP-070,ADMIN-FUND-001,Legal,Fund,Harvey LLC,2023-08-16,51781.85,EUR,Occur alone different together give court deal. Whatever each attack.,46822,PAID,PAID,2023-08-16,,2023-08-16,2023-08-16,1.0,2023-08-16,INTERNAL
ADMIN-EXP-071,ADMIN-FUND-001,Audit,Transaction,Carpenter-Li,2025-04-17,157795.41,EUR,Reason decade create simply cover. Far east try option. Account Mr get second.,77773,PAID,UNPAID,2025-04-17,,2025-04-17,2025-04-17,1.0,2025-04-17,INTERNAL
ADMIN-EXP-072,ADMIN-FUND-001,Legal,Fund,Parker-Watson,2025-06-23,58614.5,EUR,Trade himself other term. Not top game worry.,87176,PAID,UNPAID,2025-06-23,,2025-06-23,2025-06-23,1.0,2025-06-23,INTERNAL
ADMIN-EXP-073,ADMIN-FUND-001,Other,Fund,Garcia-Bullock,2023-02-11,79039.56,EUR,International large short ago number citizen score mouth.,20372,APPROVED,UNPAID,2023-02-11,,2023-02-11,2023-02-11,1.0,2023-02-11,INTERNAL
ADMIN-EXP-074,ADMIN-FUND-001,Legal,Transaction,Evans Ltd,2023-04-28,137426.92,EUR,Surface magazine option point end painting camera.,63549,PENDING,PAID,2023-04-28,,2023-04-28,2023-04-28,1.0,2023-04-28,INTERNAL
ADMIN-EXP-075,ADMIN-FUND-001,Other,Fund,Fitzgerald Inc,2022-03-26,67697.44,EUR,Low among manage him off which thing. Open worry involve believe.,24536,APPROVED,PAID,2022-03-26,,2022-03-26,2022-03-26,1.0,2022-03-26,INTERNAL
ADMIN-EXP-076,ADMIN-FUND-001,Audit,Fund,Cox and Sons,2024-09-01,204930.34,EUR,Position before watch society. Two beautiful now company activity.,72747,PENDING,PAID,2024-09-01,,2024-09-01,2024-09-01,1.0,2024-09-01,INTERNAL
ADMIN-EXP-077,ADMIN-FUND-001,Legal,Transaction,Clayton-Williams,2024-09-20,175405.52,EUR,Day test cup improve. Poor society else.,40086,PENDING,PAID,2024-09-20,,2024-09-20,2024-09-20,1.0,2024-09-20,INTERNAL
ADMIN-EXP-078,ADMIN-FUND-001,Travel,Transaction,Mills-Woods,2024-04-25,231146.44,EUR,Think expert despite. Entire environment shoulder collection environmental.,50053,APPROVED,PAID,2024-04-25,,2024-04-25,2024-04-25,1.0,2024-04-25,INTERNAL
ADMIN-EXP-079,ADMIN-FUND-001,Legal,Fund,"Hamilton, Mccarthy and Brown",2021-01-01,200202.92,EUR,Other dinner themselves.,61948,PENDING,UNPAID,2021-01-01,,2021-01-01,2021-01-01,1.0,2021-01-01,INTERNAL
ADMIN-EXP-080,ADMIN-FUND-001,Audit,Fund,"Mccarty, Bell and Perry",2022-12-24,229930.71,EUR,Successful action military free recently power study. After wish guy send into front.,55264,APPROVED,UNPAID,2022-12-24,,2022-12-24,2022-12-24,1.0,2022-12-24,INTERNAL
ADMIN-EXP-081,ADMIN-FUND-001,Audit,Transaction,Sanders Ltd,2024-05-21,94385.64,EUR,Service put space another likely day increase. Quite college middle pay summer.,66032,APPROVED,PAID,2024-05-21,,2024-05-21,2024-05-21,1.0,2024-05-21,INTERNAL
ADMIN-EXP-082,ADMIN-FUND-001,Audit,Fund,Lopez Inc,2021-03-20,144192.67,EUR,Several official while to address court. Ok short meeting past pull note movie civil.,91204,APPROVED,UNPAID,2021-03-20,,2021-03-20,2021-03-20,1.0,2021-03-20,INTERNAL
ADMIN-EXP-083,ADMIN-FUND-001,Legal,Fund,Jackson-Matthews,2021-11-11,183083.63,EUR,Deal receive movie. Win beautiful side whatever few.,95316,PAID,UNPAID,2021-11-11,,2021-11-11,2021-11-11,1.0,2021-11-11,INTERNAL
ADMIN-EXP-084,ADMIN-FUND-001,Legal,Fund,Terry Ltd,2024-06-17,158547.2,EUR,Right born likely team accept plant west. Professional question gas population oil.,75842,PAID,UNPAID,2024-06-17,,2024-06-17,2024-06-17,1.0,2024-06-17,INTERNAL
ADMIN-EXP-085,ADMIN-FUND-001,Other,Transaction,"Barrett, Valenzuela and Valdez",2020-11-28,263906.8,EUR,Ability vote simple boy approach out. Include fear land answer.,79165,PAID,PAID,2020-11-28,,2020-11-28,2020-11-28,1.0,2020-11-28,INTERNAL
ADMIN-EXP-086,ADMIN-FUND-001,Legal,Transaction,"Martin, Bautista and Pierce",2021-07-11,265081.79,EUR,Successful for water produce affect. Might process whole week.,51222,PENDING,PAID,2021-07-11,,2021-07-11,2021-07-11,1.0,2021-07-11,INTERNAL
ADMIN-EXP-087,ADMIN-FUND-001,Other,Fund,Pittman and Sons,2021-02-11,97322.87,EUR,Others one voice choose development hair. Consumer travel now.,68905,PAID,PAID,2021-02-11,,2021-02-11,2021-02-11,1.0,2021-02-11,INTERNAL
ADMIN-EXP-088,ADMIN-FUND-001,Other,Fund,Clarke-Maxwell,2024-05-22,41833.48,EUR,Wife them still. Subject together national budget them.,21736,PAID,UNPAID,2024-05-22,,2024-05-22,2024-05-22,1.0,2024-05-22,INTERNAL
ADMIN-EXP-089,ADMIN-FUND-001,Audit,Fund,"Stein, Taylor and Williams",2021-10-29,95819.91,EUR,Painting hit close improve. Can himself huge whom we notice impact country.,36703,PAID,PAID,2021-10-29,,2021-10-29,2021-10-29,1.0,2021-10-29,INTERNAL
ADMIN-EXP-090,ADMIN-FUND-001,Other,Fund,"Thompson, Mills and Camacho",2022-06-28,155008.14,EUR,Spend believe customer month couple share be yard. Act above at father present probably.,41230,PAID,PAID,2022-06-28,,2022-06-28,2022-06-28,1.0,2022-06-28,INTERNAL
ADMIN-EXP-091,ADMIN-FUND-001,Legal,Transaction,"Bridges, Harrison and Johnson",2024-12-18,40352.83,EUR,Vote still nation win staff power tax. Move these be probably early very.,30593,PAID,PAID,2024-12-18,,2024-12-18,2024-12-18,1.0,2024-12-18,INTERNAL
ADMIN-EXP-092,ADMIN-FUND-001,Legal,Transaction,Guerrero-Stewart,2021-12-12,134331.86,EUR,Cup machine decide American fear contain family you. Suggest expert participant sister management.,97614,PENDING,UNPAID,2021-12-12,,2021-12-12,2021-12-12,1.0,2021-12-12,INTERNAL
ADMIN-EXP-093,ADMIN-FUND-001,Legal,Fund,Holt Group,2024-04-21,36376.45,EUR,Ability get score rock space fly strong. Even song hotel hand own. Two another man list.,94843,PENDING,UNPAID,2024-04-21,,2024-04-21,2024-04-21,1.0,2024-04-21,INTERNAL
ADMIN-EXP-094,ADMIN-FUND-001,Legal,Fund,Wilson-Hill,2024-02-19,197618.59,EUR,"Page small national condition sound.
Open hour civil vote rule.",39464,PENDING,PAID,2024-02-19,,2024-02-19,2024-02-19,1.0,2024-02-19,INTERNAL
ADMIN-EXP-095,ADMIN-FUND-001,Other,Transaction,Campbell-Kim,2021-04-13,56800.04,EUR,Record begin stuff state pick without tend bad. Race treat specific her benefit.,90493,PAID,UNPAID,2021-04-13,,2021-04-13,2021-04-13,1.0,2021-04-13,INTERNAL
ADMIN-EXP-096,ADMIN-FUND-001,Other,Fund,Alvarez LLC,2021-06-25,155318.31,EUR,Fast risk when arm mother. Truth time bag seek. Hospital available pay fund during.,11971,PENDING,PAID,2021-06-25,,2021-06-25,2021-06-25,1.0,2021-06-25,INTERNAL
ADMIN-EXP-097,ADMIN-FUND-001,Audit,Fund,Jones-Nichols,2024-12-31,175328.72,EUR,Hear spend trade accept.,87623,PENDING,PAID,2024-12-31,,2024-12-31,2024-12-31,1.0,2024-12-31,INTERNAL
ADMIN-EXP-098,ADMIN-FUND-001,Audit,Fund,"Martinez, Heath and Willis",2023-05-15,71301.05,EUR,Huge image term others rate change. Pattern appear record here doctor speech bill.,89057,PENDING,UNPAID,2023-05-15,,2023-05-15,2023-05-15,1.0,2023-05-15,INTERNAL
ADMIN-EXP-099,ADMIN-FUND-001,Legal,Transaction,Jones and Sons,2022-12-09,45792.07,EUR,Market behind institution get key artist. Conference few decide opportunity.,44646,PAID,UNPAID,2022-12-09,,2022-12-09,2022-12-09,1.0,2022-12-09,INTERNAL
ADMIN-EXP-100,ADMIN-FUND-001,Travel,Fund,"Miller, Day and Warren",2024-04-26,225438.42,EUR,Sign wife year. Suggest soon become enter talk south beyond. Clearly owner it drop.,55431,PAID,UNPAID,2024-04-26,,2024-04-26,2024-04-26,1.0,2024-04-26,INTERNAL
ADMIN-EXP-101,ADMIN-FUND-001,Other,Fund,Oneill and Sons,2023-09-21,107757.44,EUR,Interest country seven compare.,76295,APPROVED,PAID,2023-09-21,,2023-09-21,2023-09-21,1.0,2023-09-21,INTERNAL
ADMIN-EXP-102,ADMIN-FUND-001,Travel,Fund,Atkins-Murphy,2021-01-27,230398.29,EUR,Camera home trip kind job ready. Attorney necessary determine ahead respond hotel expect early.,58125,PENDING,PAID,2021-01-27,,2021-01-27,2021-01-27,1.0,2021-01-27,INTERNAL
