loan_cashflow_id,loan_id,cashflow_type,cashflow_date,amount,currency_code,description,created_date,last_modified_date
CF-L003-004,PM-LOAN-003,INTEREST_PAYMENT,2025-03-15,900000,USD,Q1 2025 interest payment,2025-03-15,2025-03-15
CF-L003-005,PM-LOAN-003,INTEREST_PAYMENT,2025-06-15,900000,USD,Q2 2025 interest payment,2025-06-15,2025-06-15
CF-L003-006,PM-LOAN-003,INTEREST_PAYMENT,2025-09-15,900000,USD,Q3 2025 interest payment,2025-09-15,2025-09-15
CF-L004-001,PM-LOAN-004,DRAW,2023-09-01,60000000,EUR,Initial drawdown of Senior Secured Term Loan,2023-09-01,2023-09-01
CF-L004-002,PM-LOAN-004,INTEREST_PAYMENT,2023-12-01,637500,EUR,Q4 2023 interest payment,2023-12-01,2023-12-01
CF-L004-003,PM-LOAN-004,PRINCIPAL_REPAYMENT,2023-12-01,2142857,EUR,Q4 2023 principal repayment,2023-12-01,2023-12-01
CF-L004-004,PM-LOAN-004,INTEREST_PAYMENT,2024-03-01,614732,EUR,Q1 2024 interest payment,2024-03-01,2024-03-01
CF-L004-005,PM-LOAN-004,PRINCIPAL_REPAYMENT,2024-03-01,2142857,EUR,Q1 2024 principal repayment,2024-03-01,2024-03-01
CF-L004-006,PM-LOAN-004,INTEREST_PAYMENT,2024-06-01,591964,EUR,Q2 2024 interest payment,2024-06-01,2024-06-01
CF-L004-007,PM-LOAN-004,PRINCIPAL_REPAYMENT,2024-06-01,2142857,EUR,Q2 2024 principal repayment,2024-06-01,2024-06-01
CF-L004-008,PM-LOAN-004,INTEREST_PAYMENT,2024-09-01,569196,EUR,Q3 2024 interest payment,2024-09-01,2024-09-01
CF-L004-009,PM-LOAN-004,PRINCIPAL_REPAYMENT,2024-09-01,2142857,EUR,Q3 2024 principal repayment,2024-09-01,2024-09-01
CF-L004-010,PM-LOAN-004,INTEREST_PAYMENT,2024-12-01,546429,EUR,Q4 2024 interest payment,2024-12-01,2024-12-01
CF-L004-011,PM-LOAN-004,PRINCIPAL_REPAYMENT,2024-12-01,2142857,EUR,Q4 2024 principal repayment,2024-12-01,2024-12-01
CF-L004-012,PM-LOAN-004,INTEREST_PAYMENT,2025-03-01,523661,EUR,Q1 2025 interest payment,2025-03-01,2025-03-01
CF-L004-013,PM-LOAN-004,PRINCIPAL_REPAYMENT,2025-03-01,2142857,EUR,Q1 2025 principal repayment,2025-03-01,2025-03-01
CF-L004-014,PM-LOAN-004,INTEREST_PAYMENT,2025-06-01,500893,EUR,Q2 2025 interest payment,2025-06-01,2025-06-01
CF-L004-015,PM-LOAN-004,PRINCIPAL_REPAYMENT,2025-06-01,2142857,EUR,Q2 2025 principal repayment,2025-06-01,2025-06-01
CF-L004-016,PM-LOAN-004,INTEREST_PAYMENT,2025-09-01,478125,EUR,Q3 2025 interest payment,2025-09-01,2025-09-01
CF-L004-017,PM-LOAN-004,PRINCIPAL_REPAYMENT,2025-09-01,2142857,EUR,Q3 2025 principal repayment,2025-09-01,2025-09-01
CF-L005-001,PM-LOAN-005,DRAW,2024-02-01,40000000,GBP,Initial drawdown of Senior Secured Term Loan,2024-02-01,2024-02-01
CF-L005-002,PM-LOAN-005,INTEREST_PAYMENT,2024-05-01,400000,GBP,Q2 2024 interest payment,2024-05-01,2024-05-01
CF-L005-003,PM-LOAN-005,PRINCIPAL_REPAYMENT,2024-05-01,1428571,GBP,Q2 2024 principal repayment,2024-05-01,2024-05-01
CF-L005-004,PM-LOAN-005,INTEREST_PAYMENT,2024-08-01,385714,GBP,Q3 2024 interest payment,2024-08-01,2024-08-01
CF-L005-005,PM-LOAN-005,PRINCIPAL_REPAYMENT,2024-08-01,1428571,GBP,Q3 2024 principal repayment,2024-08-01,2024-08-01
CF-L005-006,PM-LOAN-005,INTEREST_PAYMENT,2024-11-01,371429,GBP,Q4 2024 interest payment,2024-11-01,2024-11-01
CF-L005-007,PM-LOAN-005,PRINCIPAL_REPAYMENT,2024-11-01,1428571,GBP,Q4 2024 principal repayment,2024-11-01,2024-11-01
CF-L005-008,PM-LOAN-005,INTEREST_PAYMENT,2025-02-01,357143,GBP,Q1 2025 interest payment,2025-02-01,2025-02-01
CF-L005-009,PM-LOAN-005,PRINCIPAL_REPAYMENT,2025-02-01,1428571,GBP,Q1 2025 principal repayment,2025-02-01,2025-02-01
CF-L005-010,PM-LOAN-005,INTEREST_PAYMENT,2025-05-01,342857,GBP,Q2 2025 interest payment,2025-05-01,2025-05-01
CF-L005-011,PM-LOAN-005,PRINCIPAL_REPAYMENT,2025-05-01,1428571,GBP,Q2 2025 principal repayment,2025-05-01,2025-05-01
CF-L005-012,PM-LOAN-005,INTEREST_PAYMENT,2025-08-01,328571,GBP,Q3 2025 interest payment,2025-08-01,2025-08-01
CF-L005-013,PM-LOAN-005,PRINCIPAL_REPAYMENT,2025-08-01,1428571,GBP,Q3 2025 principal repayment,2025-08-01,2025-08-01
CF-L006-001,PM-LOAN-006,DRAW,2023-11-15,55000000,USD,Initial drawdown of Senior Secured Term Loan B,2023-11-15,2023-11-15
CF-L006-002,PM-LOAN-006,INTEREST_PAYMENT,2024-02-15,687500,USD,Q1 2024 interest payment,2024-02-15,2024-02-15
CF-L006-003,PM-LOAN-006,PRINCIPAL_REPAYMENT,2024-02-15,1964286,USD,Q1 2024 principal repayment,2024-02-15,2024-02-15
CF-L006-004,PM-LOAN-006,INTEREST_PAYMENT,2024-05-15,662946,USD,Q2 2024 interest payment,2024-05-15,2024-05-15
CF-L006-005,PM-LOAN-006,PRINCIPAL_REPAYMENT,2024-05-15,1964286,USD,Q2 2024 principal repayment,2024-05-15,2024-05-15
CF-L006-006,PM-LOAN-006,INTEREST_PAYMENT,2024-08-15,638393,USD,Q3 2024 interest payment,2024-08-15,2024-08-15
CF-L006-007,PM-LOAN-006,PRINCIPAL_REPAYMENT,2024-08-15,1964286,USD,Q3 2024 principal repayment,2024-08-15,2024-08-15
CF-L006-008,PM-LOAN-006,INTEREST_PAYMENT,2024-11-15,613839,USD,Q4 2024 interest payment,2024-11-15,2024-11-15
CF-L006-009,PM-LOAN-006,PRINCIPAL_REPAYMENT,2024-11-15,1964286,USD,Q4 2024 principal repayment,2024-11-15,2024-11-15
CF-L006-010,PM-LOAN-006,INTEREST_PAYMENT,2025-02-15,589286,USD,Q1 2025 interest payment,2025-02-15,2025-02-15
CF-L006-011,PM-LOAN-006,PRINCIPAL_REPAYMENT,2025-02-15,1964286,USD,Q1 2025 principal repayment,2025-02-15,2025-02-15
CF-L006-012,PM-LOAN-006,INTEREST_PAYMENT,2025-05-15,564732,USD,Q2 2025 interest payment,2025-05-15,2025-05-15
CF-L006-013,PM-LOAN-006,PRINCIPAL_REPAYMENT,2025-05-15,1964286,USD,Q2 2025 principal repayment,2025-05-15,2025-05-15
CF-L006-014,PM-LOAN-006,INTEREST_PAYMENT,2025-08-15,540179,USD,Q3 2025 interest payment,2025-08-15,2025-08-15
CF-L006-015,PM-LOAN-006,PRINCIPAL_REPAYMENT,2025-08-15,1964286,USD,Q3 2025 principal repayment,2025-08-15,2025-08-15
CF-L007-001,PM-LOAN-007,DRAW,2024-08-01,25000000,USD,Initial drawdown of Mezzanine Loan,2024-08-01,2024-08-01
CF-L007-002,PM-LOAN-007,INTEREST_PAYMENT,2024-11-01,718750,USD,Q4 2024 interest payment,2024-11-01,2024-11-01
CF-L007-003,PM-LOAN-007,INTEREST_PAYMENT,2025-02-01,718750,USD,Q1 2025 interest payment,2025-02-01,2025-02-01
CF-L007-004,PM-LOAN-007,INTEREST_PAYMENT,2025-05-01,718750,USD,Q2 2025 interest payment,2025-05-01,2025-05-01
CF-L007-005,PM-LOAN-007,INTEREST_PAYMENT,2025-08-01,718750,USD,Q3 2025 interest payment,2025-08-01,2025-08-01
CF-L008-001,PM-LOAN-008,DRAW,2024-02-15,10000000,USD,Revolver drawdown,2024-02-15,2024-02-15
CF-L008-002,PM-LOAN-008,INTEREST_PAYMENT,2024-05-15,87500,USD,Q2 2024 interest payment,2024-05-15,2024-05-15
CF-L008-003,PM-LOAN-008,INTEREST_PAYMENT,2024-08-15,87500,USD,Q3 2024 interest payment,2024-08-15,2024-08-15
CF-L008-004,PM-LOAN-008,INTEREST_PAYMENT,2024-11-15,87500,USD,Q4 2024 interest payment,2024-11-15,2024-11-15
CF-L008-005,PM-LOAN-008,INTEREST_PAYMENT,2025-02-15,87500,USD,Q1 2025 interest payment,2025-02-15,2025-02-15
CF-L008-006,PM-LOAN-008,INTEREST_PAYMENT,2025-05-15,87500,USD,Q2 2025 interest payment,2025-05-15,2025-05-15
CF-L008-007,PM-LOAN-008,INTEREST_PAYMENT,2025-08-15,87500,USD,Q3 2025 interest payment,2025-08-15,2025-08-15
CF-L009-001,PM-LOAN-009,DRAW,2024-04-01,7500000,USD,Revolver drawdown,2024-04-01,2024-04-01
CF-L009-002,PM-LOAN-009,INTEREST_PAYMENT,2024-07-01,70313,USD,Q3 2024 interest payment,2024-07-01,2024-07-01
CF-L009-003,PM-LOAN-009,INTEREST_PAYMENT,2024-10-01,70313,USD,Q4 2024 interest payment,2024-10-01,2024-10-01
CF-L009-004,PM-LOAN-009,INTEREST_PAYMENT,2025-01-01,70313,USD,Q1 2025 interest payment,2025-01-01,2025-01-01
CF-L009-005,PM-LOAN-009,INTEREST_PAYMENT,2025-04-01,70313,USD,Q2 2025 interest payment,2025-04-01,2025-04-01
CF-L009-006,PM-LOAN-009,INTEREST_PAYMENT,2025-07-01,70313,USD,Q3 2025 interest payment,2025-07-01,2025-07-01
CF-L010-001,PM-LOAN-010,DRAW,2024-01-15,9000000,EUR,Revolver drawdown,2024-01-15,2024-01-15
CF-L010-002,PM-LOAN-010,INTEREST_PAYMENT,2024-04-15,73125,EUR,Q2 2024 interest payment,2024-04-15,2024-04-15
CF-L010-003,PM-LOAN-010,INTEREST_PAYMENT,2024-07-15,73125,EUR,Q3 2024 interest payment,2024-07-15,2024-07-15
CF-L010-004,PM-LOAN-010,INTEREST_PAYMENT,2024-10-15,73125,EUR,Q4 2024 interest payment,2024-10-15,2024-10-15
CF-L010-005,PM-LOAN-010,INTEREST_PAYMENT,2025-01-15,73125,EUR,Q1 2025 interest payment,2025-01-15,2025-01-15
CF-L010-006,PM-LOAN-010,INTEREST_PAYMENT,2025-04-15,73125,EUR,Q2 2025 interest payment,2025-04-15,2025-04-15
CF-L010-007,PM-LOAN-010,INTEREST_PAYMENT,2025-07-15,73125,EUR,Q3 2025 interest payment,2025-07-15,2025-07-15
CF-L011-001,PM-LOAN-011,DRAW,2024-03-01,6000000,GBP,Revolver drawdown,2024-03-01,2024-03-01
CF-L011-002,PM-LOAN-011,INTEREST_PAYMENT,2024-06-01,52500,GBP,Q2 2024 interest payment,2024-06-01,2024-06-01
CF-L011-003,PM-LOAN-011,INTEREST_PAYMENT,2024-09-01,52500,GBP,Q3 2024 interest payment,2024-09-01,2024-09-01
CF-L011-004,PM-LOAN-011,INTEREST_PAYMENT,2024-12-01,52500,GBP,Q4 2024 interest payment,2024-12-01,2024-12-01
CF-L011-005,PM-LOAN-011,INTEREST_PAYMENT,2025-03-01,52500,GBP,Q1 2025 interest payment,2025-03-01,2025-03-01
CF-L011-006,PM-LOAN-011,INTEREST_PAYMENT,2025-06-01,52500,GBP,Q2 2025 interest payment,2025-06-01,2025-06-01
CF-L011-007,PM-LOAN-011,INTEREST_PAYMENT,2025-09-01,52500,GBP,Q3 2025 interest payment,2025-09-01,2025-09-01
CF-L012-001,PM-LOAN-012,DRAW,2024-01-15,8000000,USD,Revolver drawdown,2024-01-15,2024-01-15
CF-L012-002,PM-LOAN-012,INTEREST_PAYMENT,2024-04-15,75000,USD,Q2 2024 interest payment,2024-04-15,2024-04-15
CF-L012-003,PM-LOAN-012,INTEREST_PAYMENT,2024-07-15,75000,USD,Q3 2024 interest payment,2024-07-15,2024-07-15
CF-L012-004,PM-LOAN-012,INTEREST_PAYMENT,2024-10-15,75000,USD,Q4 2024 interest payment,2024-10-15,2024-10-15
CF-L012-005,PM-LOAN-012,INTEREST_PAYMENT,2025-01-15,75000,USD,Q1 2025 interest payment,2025-01-15,2025-01-15
CF-L012-006,PM-LOAN-012,INTEREST_PAYMENT,2025-04-15,75000,USD,Q2 2025 interest payment,2025-04-15,2025-04-15
CF-L012-007,PM-LOAN-012,INTEREST_PAYMENT,2025-07-15,75000,USD,Q3 2025 interest payment,2025-07-15,2025-07-15
CF-L013-001,PM-LOAN-013,DRAW,2024-05-01,25000000,USD,Initial drawdown of Senior Secured Term Loan B,2024-05-01,2024-05-01
CF-L013-002,PM-LOAN-013,INTEREST_PAYMENT,2024-08-01,328125,USD,Q3 2024 interest payment,2024-08-01,2024-08-01
CF-L013-003,PM-LOAN-013,PRINCIPAL_REPAYMENT,2024-08-01,781250,USD,Q3 2024 principal repayment,2024-08-01,2024-08-01
CF-L013-004,PM-LOAN-013,INTEREST_PAYMENT,2024-11-01,317969,USD,Q4 2024 interest payment,2024-11-01,2024-11-01
CF-L013-005,PM-LOAN-013,PRINCIPAL_REPAYMENT,2024-11-01,781250,USD,Q4 2024 principal repayment,2024-11-01,2024-11-01
CF-L013-006,PM-LOAN-013,INTEREST_PAYMENT,2025-02-01,307813,USD,Q1 2025 interest payment,2025-02-01,2025-02-01
CF-L013-007,PM-LOAN-013,PRINCIPAL_REPAYMENT,2025-02-01,781250,USD,Q1 2025 principal repayment,2025-02-01,2025-02-01
CF-L013-008,PM-LOAN-013,INTEREST_PAYMENT,2025-05-01,297656,USD,Q2 2025 interest payment,2025-05-01,2025-05-01
CF-L013-009,PM-LOAN-013,PRINCIPAL_REPAYMENT,2025-05-01,781250,USD,Q2 2025 principal repayment,2025-05-01,2025-05-01
CF-L013-010,PM-LOAN-013,INTEREST_PAYMENT,2025-08-01,287500,USD,Q3 2025 interest payment,2025-08-01,2025-08-01
CF-L013-011,PM-LOAN-013,PRINCIPAL_REPAYMENT,2025-08-01,781250,USD,Q3 2025 principal repayment,2025-08-01,2025-08-01
CF-L014-001,PM-LOAN-014,DRAW,2024-09-01,35000000,USD,Initial drawdown of Senior Secured Term Loan,2024-09-01,2024-09-01
CF-L014-002,PM-LOAN-014,INTEREST_PAYMENT,2024-12-01,393750,USD,Q4 2024 interest payment,2024-12-01,2024-12-01
CF-L014-003,PM-LOAN-014,PRINCIPAL_REPAYMENT,2024-12-01,1250000,USD,Q4 2024 principal repayment,2024-12-01,2024-12-01
CF-L014-004,PM-LOAN-014,INTEREST_PAYMENT,2025-03-01,379688,USD,Q1 2025 interest payment,2025-03-01,2025-03-01
CF-L014-005,PM-LOAN-014,PRINCIPAL_REPAYMENT,2025-03-01,1250000,USD,Q1 2025 principal repayment,2025-03-01,2025-03-01
CF-L014-006,PM-LOAN-014,INTEREST_PAYMENT,2025-06-01,365625,USD,Q2 2025 interest payment,2025-06-01,2025-06-01
CF-L014-007,PM-LOAN-014,PRINCIPAL_REPAYMENT,2025-06-01,1250000,USD,Q2 2025 principal repayment,2025-06-01,2025-06-01
CF-L014-008,PM-LOAN-014,INTEREST_PAYMENT,2025-09-01,351563,USD,Q3 2025 interest payment,2025-09-01,2025-09-01
CF-L014-009,PM-LOAN-014,PRINCIPAL_REPAYMENT,2025-09-01,1250000,USD,Q3 2025 principal repayment,2025-09-01,2025-09-01
CF-L015-001,PM-LOAN-015,DRAW,2024-04-01,45000000,USD,Initial drawdown of Senior Secured Term Loan,2024-04-01,2024-04-01
CF-L015-002,PM-LOAN-015,INTEREST_PAYMENT,2024-07-01,534375,USD,Q3 2024 interest payment,2024-07-01,2024-07-01
CF-L015-003,PM-LOAN-015,PRINCIPAL_REPAYMENT,2024-07-01,1607143,USD,Q3 2024 principal repayment,2024-07-01,2024-07-01
CF-L015-004,PM-LOAN-015,INTEREST_PAYMENT,2024-10-01,515268,USD,Q4 2024 interest payment,2024-10-01,2024-10-01
CF-L015-005,PM-LOAN-015,PRINCIPAL_REPAYMENT,2024-10-01,1607143,USD,Q4 2024 principal repayment,2024-10-01,2024-10-01
CF-L015-006,PM-LOAN-015,INTEREST_PAYMENT,2025-01-01,496161,USD,Q1 2025 interest payment,2025-01-01,2025-01-01
CF-L015-007,PM-LOAN-015,PRINCIPAL_REPAYMENT,2025-01-01,1607143,USD,Q1 2025 principal repayment,2025-01-01,2025-01-01
CF-L015-008,PM-LOAN-015,INTEREST_PAYMENT,2025-04-01,477054,USD,Q2 2025 interest payment,2025-04-01,2025-04-01
CF-L015-009,PM-LOAN-015,PRINCIPAL_REPAYMENT,2025-04-01,1607143,USD,Q2 2025 principal repayment,2025-04-01,2025-04-01
CF-L015-010,PM-LOAN-015,INTEREST_PAYMENT,2025-07-01,457946,USD,Q3 2025 interest payment,2025-07-01,2025-07-01
CF-L015-011,PM-LOAN-015,PRINCIPAL_REPAYMENT,2025-07-01,1607143,USD,Q3 2025 principal repayment,2025-07-01,2025-07-01
